GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
78	7	1	20,9	449904	0	0	39,4	51	20	28	47	36	33	46	46	2	0	4
155	24	1	24,1	1246740	0	1	48	53,9	45,9	39,3	41,9	47,2	52,8	52,1	52,6	6	1	33
122	25	1	21,2	449904	0	0	50,2	48	45	40	51	52	62	49	41	2	0	3
110	28	1	21,4	449904	1	0	48,1	48	48	36	47	45	54	56	37	2	0	5
101	15	1	20,9	449904	0	0	42,7	51	50	29	37	41	46	52	44	7	1	25
107	18	1	20,5	431158	0	0	44,8	48	51	48	59	41	50	48	53	1	0	1
78	11	1	22,2	449904	0	0	50,1	52,3	22,2	40,5	47	48,4	47,2	55,6	56,6	1	0	1
108	14	0	20,6	449904	0	0	43,7	44	43	33	45	43	46	45	47	6	1	33
123	26	1	23,6	412412	0	0	48,8	50,8	57,1	42,2	50,9	56,5	48,4	46,6	50,9	7	1	26
113	20	0	20,9	449904	0	0	45,3	41	50	33	39	30	54	49	41	4	0	10
114	18	1	22	456194	0	0	49	37	41	37	49	43	39	59	47	1	0	0
85	54	1	20,4	476029	0	0	57,3	63	60	69	49	49	54	68	50	6	1	26
95	13	1	21,6	476029	0	0	65,9	65,98	57,6	54,95	63,86	58,47	50,6	69,01	75,02	6	1	39
54	20	0	22	456194	1	0	51,1	55,09	55,32	51,89	46,97	51,33	47,41	55,89	46,19	6	1	41
82	62	1	22,9	476029	0	0	47,6	43,43	43,87	47,74	37,96	44,93	43,78	63,02	43,19	1	0	5
85	62	0	22,8	436360	0	0	45	51,06	45,79	27,6	42,13	45,94	46,45	34,86	48,87	6	1	29
20	34	0	23,1	436360	0	0	43,2	44,38	52,28	36,82	45,69	36,71	37,95	42,39	47,13	6	1	25
1	4	0	24	476029	0	0	40,4	32,02	43,18	31,78	54,26	34,94	40,12	48,17	31,49	2	0	4
85	41	1	21,7	456194	0	0	51,5	51	45	37	54	51	54	46	56	6	1	34
80	59	0	25,2	456194	0	0	45,7	53,95	54,05	32,22	44,26	47,21	57,32	36,38	43,47	1	0	0
46	30	1	22,1	456194	0	0	48,4	53,19	50,68	51,89	42,69	43,53	50,6	48,17	49,44	6	1	32
82	85	0	24,9	436360	0	0	52	49,87	46,81	38,35	38,57	43,48	47,14	62,82	57,44	6	1	49
62	77	0	22,4	476029	0	0	46,7	42,51	39,7	51,28	45,57	44,71	50,37	44	54,3	6	1	40
23	41	0	22,6	436360	1	0	50,4	47,61	29,17	44,46	53,27	48,86	47,63	52,32	50,86	6	1	33
59	82	0	26	1360080	0	0	49,6	40,26	46,91	47,6	43,64	60,24	59,31	56,19	45,12	6	1	41
98	82	1	20	1020061	0	0	54,6	58,75	53,07	53,71	53,05	52,09	61,2	54,67	49,27	6	1	30
85	41	1	22,9	476029	0	0	49,2	55,09	43,86	39,52	24,05	67,51	56,64	46,45	52,83	6	1	29
23	59	1	22,6	476029	0	0	43,2	46,76	53,33	37,24	45,57	44,71	50,47	38,23	39,6	6	1	28
82	97	1	24,5	2040120	1	1	45,3	46,34	46,09	47,08	44,84	43,48	42,72	47,41	44,28	2	0	7
82	50	1	22,2	476029	0	0	43,5	48	46	44	51	34	50	49	28	2	0	4
62	82	0	20,8	476029	1	0	53,2	51	53	46	52	59	59	52	52	2	0	6
99	18	1	26,9	456194	0	0	55,1	53,04	44,41	42,93	56,61	27,81	52,45	75,7	45,12	6	1	39
70	38	1	21,5	456194	0	0	46,7	49,51	43,87	65,24	37,96	53,27	56,41	39,25	51,58	6	1	30
77	20	1	21,4	476029	0	0	59,3	65,98	55,84	56,82	57,57	61,66	59,27	58,05	54,1	3	0	6
30	5	0	20,8	476029	1	0	47,8	48	43	40	43	41	50	49	52	6	1	34
59	34	1	21,2	456194	1	0	45,5	48	52	53	39	43	50	46	46	6	1	34
38	59	0	24	436360	0	0	45,9	40,23	41,64	49,38	42,75	38,31	47,18	49,84	52,16	6	1	40
34	9	1	29	476029	1	0	51,7	60,25	52,23	48,41	46,84	40,88	51,21	55,71	47,22	6	1	34
82	9	0	21,1	476029	0	0	45,5	45	47	37	52	47	41	42	47	6	1	31
66	41	1	21,3	476029	1	0	51,5	54	49	45	60	40	54	49	50	6	1	41
54	30	0	22	1020061	1	1	48	38,63	40,82	48,76	50,41	45,63	57,48	47,3	53,09	1	0	6
50	77	0	22,2	1020061	0	0	45,5	53,19	55,84	59,66	57,4	46,27	50,45	46	53	1	0	4
99	85	1	22,1	456194	0	0	43,1	50,31	40,03	47,29	53,43	53,32	44,9	58,5	41,52	2	0	2
66	13	0	21,6	476029	1	0	52,6	59	42	37	52	27	57	59	47	1	0	3
91	89	1	20,3	476029	0	0	55,8	55	44	54	52	41	63	59	56	6	1	26
59	62	0	20,7	456194	0	0	55,5	59	48	54	45	50	54	49	56	6	1	25
82	85	1	20,8	476029	0	0	61,1	58	56	53	65	77	63	69	63	6	1	32
85	77	1	20,7	476029	1	0	58,9	61	62	60	60	57	61	54	57	6	1	29
73	34	0	24,4	476029	0	0	46,9	44,68	51,5	53,59	45,57	50,86	50,37	44	47,38	2	0	7
41	82	0	21,6	456194	0	0	46,3	49	45	37	54	40	54	40	48	3	0	12
97	97	1	23,4	476029	0	0	54,3	53,84	54,29	51,65	53,45	76,45	45,12	54,43	55,57	5	1	20
50	62	0	21	476029	0	0	56,8	59	56	33	55	47	62	69	55	6	1	35
77	70	1	21	476029	1	0	61,4	68	57	69	47	52	69	49	52	1	0	3
80	70	0	24,7	436360	1	0	52,8	55,49	46	52	57	59	59	50,18	57	6	1	33
23	20	0	20,4	456194	0	0	46,8	45	60	44	59	43	50	49	50	6	1	22
99	62	0	20,2	476029	0	0	61,4	63	61	53	65	68	68	75	47	6	1	29
46	41	1	21,6	456194	0	0	48,1	48	49	37	45	53	53	52	47	1	0	1
20	2	1	23,3	416525	0	0	45,5	50,4	53,57	53,93	37,9	56,82	43,78	42,46	31,86	2	1	4
89	50	0	20,5	456194	0	0	51,8	55	51	41	52	43	57	52	50	3	0	10
99	89	1	20,4	456194	0	0	59,4	58	57	60	52	50	63	68	56	6	1	28
95	85	0	20,5	456194	0	0	54,7	55	43	60	37	52	63	52	50	1	0	4
66	30	0	19,7	456194	0	0	47,2	48	49	37	49	39	41	55	50	6	1	29
82	82	1	20,1	476029	0	0	57,1	59	54	60	59	47	57	60	52	6	1	21
82	70	1	21,1	476029	1	0	52,7	58	50	53	63	45	58	53	41	6	1	27
94	82	0	20,7	2040120	0	1	52,7	71	53	63	55	59	61	69	57	1	0	5
59	30	0	21	476029	1	0	50,5	51	40	60	45	52	49	48	47	6	1	33
11	8	0	20,3	476029	1	0	39,4	34	28	38	37	39	50	40	45	6	1	27
11	3	0	19,9	456194	0	0	46,2	46	44	39	50	39	44	37	60	6	1	21
62	70	0	21	476029	0	0	53,8	55	50	60	41	43	54	59	47	1	0	2
98	99	1	21,4	476029	1	0	64,3	69,65	64,86	50,93	60,57	68,86	62,11	55,62	66,99	4	1	15
85	77	0	25,6	476029	0	0	55,8	61	48	48	60	43	54	51	57	1	0	0
50	59	1	20,7	456194	1	0	50,1	55	59	60	59	36	45	56	37	3	0	7
23	99	0	20,3	456194	1	0	48,1	49	52	41	36	37	54	49	49	6	1	22
82	62	0	20,3	456194	1	1	53,9	55	48	49	54	51	52	60	51	6	1	25
41	41	0	21,4	476029	0	0	50,9	49,51	51,26	50,93	50,75	47,15	53,5	53,16	51,58	6	1	27
46	50	0	20,1	476029	0	0	49,8	51	49	45	43	60	50	46	50	6	1	28
95	82	1	23,8	476029	0	0	44,6	44,37	53,33	40,9	46,7	42,2	44,72	44,5	47,36	6	1	16
41	50	1	22,6	1360080	0	1	39,5	44	37	33	45	47	37	45	29	2	0	1
23	18	1	22,2	476029	0	0	46,7	48	42	45	52	36	41	55	44	1	0	0
97	30	0	21,6	476029	0	0	66,6	72	70	62	56	94	63,02	86	64,44	3	0	14
23	5	0	20,4	476029	1	0	47,2	51	46	37	36	43	57	40	46	5	1	16
46	6	0	21,9	476029	0	0	59,4	59	51	69	52	41	68	59	56	1	0	4
62	77	1	24	436360	0	0	52,1	55,8	50,26	44,72	44,84	40,89	48,95	47,41	56,05	6	1	31
62	97	0	20,8	456194	0	0	48	53	51	49	48	39	57	49	45	1	0	3
62	34	1	22,2	476029	1	0	67,6	75,95	40,42	45,2	42,69	35,31	50,6	48,17	93,36	1	0	3
23	50	0	20,3	476029	0	0	47,7	48	42	49	25	47	49	42	50	6	1	23
80	4	0	19,9	456194	0	0	47,9	48	49	39	59	43	49	54	53	4	1	9
62	3	0	23,8	436360	0	0	52,4	56	51	45	52	37	63	49	50	1	0	0
54	20	0	24,6	476029	0	0	45,9	47,79	46,81	32,22	44,26	39,54	53,22	47,67	45,4	1	0	0
23	38	0	20,8	476029	0	0	41,5	41	45	45	37	41	45	45	41	5	1	15
66	70	0	20,8	1360080	0	1	46,8	47	57	54	49	47	56	49	52	6	1	25
99	77	1	22,1	476029	0	0	65,5	65,98	62,16	66,58	76	62,94	63	79,26	66	1	0	3
66	18	0	19,8	1020061	1	1	55,2	59	48	53	35	43	63	52	50	6	1	29
54	18	0	22,3	436360	0	0	51,8	52,34	43,87	62,46	46,97	50,87	50,45	53,16	51,58	6	1	37
41	38	0	22,2	476029	0	0	53,6	50,4	46,44	53,93	57,4	50,1	59,27	53,16	36,48	2	0	7
30	5	0	21,9	456194	0	0	56,2	36,32	64,48	48,66	32,14	57,29	62,21	48,17	63,93	6	1	34
97	89	0	20,2	476029	0	0	53	51	57	69	45	43	46	51	47	6	1	26
99	89	0	26,4	456194	1	0	55,9	50,05	51,76	60,49	46,37	51,56	57,14	55,8	52,46	1	0	2
73	41	0	21,4	456194	1	0	51,8	45	50	49	52	34	54	55	50	6	1	38
92	70	1	20,9	476029	1	0	58,2	49	54	60	48	50	63	57	55	6	1	41
94	62	1	21,9	476029	0	0	54,7	46,57	46,44	47,74	42,77	43,53	62,11	58,05	48,96	6	1	38
80	77	0	21	476029	0	0	60	48	68	53	52	49	57	63	63	6	1	44
82	34	0	20,7	456194	0	0	52,1	55	57	37	52	49	58	51	50	6	1	38
66	59	0	21,3	476029	0	0	55,2	50,4	57,6	51,89	54,13	48,42	50,6	60,91	57,08	6	1	36
77	59	0	19,5	476029	0	0	50	45	47	46	50	50	50	56	52	6	1	36
20	13	0	21,3	456194	0	0	49,9	47,48	46,44	40,54	32,09	44,51	47,24	60,51	46,66	6	1	39
23	30	0	22,1	456194	0	0	56,1	61,28	53,02	66,58	60,57	52,08	53,63	55,89	49,44	6	1	40
73	70	0	22,9	456194	1	0	54,3	44,42	62,57	47,74	50,64	41,66	50,45	58,05	43,65	1	0	4
62	70	0	20,2	456194	0	0	58,8	63	59	84	56	39	49	59	50	6	1	28
59	62	1	21,3	476029	0	0	55,2	58	50	53	47	49	63	53	52	6	1	38
62	54	0	21,6	476029	0	0	52,4	49,51	60,3	53,93	42,77	53,27	50,45	48,09	43,19	6	1	35
23	82	0	23,9	416525	0	0	50,6	44,42	60,3	50,93	57,4	43,53	56,41	39,25	49,44	5	1	25
85	30	1	21,5	476029	0	0	62,5	53,19	60,3	56,82	57,4	54,45	59,27	71,35	61,96	6	1	35
99	89	0	26,3	436360	0	0	56,9	59,24	61,72	62,81	63,43	57,84	59,11	48,4	54,05	5	1	17
82	34	0	23,1	436360	1	0	56,3	52,41	49,96	46,63	35,7	44,34	62,59	61,22	41,52	6	1	36
82	50	0	26,8	416525	0	0	48,9	49,6	49,53	52,99	48,9	52,42	51,43	43,27	44,7	6	1	32
46	41	0	23	456194	0	0	50,4	45,47	42,91	51,75	46,41	52,09	55,57	49,43	45,36	6	1	32
59	82	1	20,6	476029	0	0	52	39	44	31	24	33	52	71	35	6	1	25
73	77	1	21,3	476029	1	0	56,8	55	54	48	55	43	62	60	55	6	1	36
85	13	0	21,1	456194	0	0	54,4	55	46	69	45	43	54	55	56	6	1	35
82	30	0	21,9	476029	0	0	52,7	57,8	46,44	53,93	63,86	48,42	56,41	53,16	48,96	6	1	38
62	41	0	21	476029	0	0	50,6	55	48	54	41	45	43	59	53	6	1	30
89	20	1	24,7	436360	0	0	54,1	56	55	54	57	45	54	55	51	6	1	36
99	8	1	31,2	416525	0	0	59,4	55	49	65	60	47	57	68	54	6	1	42
82	8	1	23	1360080	1	1	56,7	53,11	48,05	54,45	47,62	51,23	60,24	60,92	46,94	6	1	32
97	50	1	24,6	436360	1	0	55	52,56	51,06	59,93	43,91	41,6	62,45	49,95	45,71	1	0	4
54	41	0	22,8	436360	0	0	54,6	55,92	59,87	57,9	63,65	51,33	53,63	50,82	52,07	1	0	5
62	41	0	30,8	416525	0	0	50,5	58	46	49	52	49	54	51	53	6	1	33
62	34	1	21,9	476029	1	0	50,4	53,19	48,89	44,32	42,69	43,11	50,45	55,62	49,44	6	1	33
27	38	0	21,4	476029	0	0	50,3	41,1	45,79	51,89	46,87	40,14	53,63	50,82	49,44	6	1	35
66	41	1	22,6	416525	0	0	53,6	42,7	57,14	55,86	47,95	44,71	58,84	46,45	51,1	3	0	6
46	18	0	25,5	476029	0	0	48,1	44,38	54,29	47,08	53,45	45,98	42,93	49,84	45,38	1	0	5
85	50	0	29	476029	0	0	52,3	49	53	60	39	47	52	49	53	6	1	35
54	9	0	24,3	416525	0	0	50,5	56	49	52	45	39	52	51	39	6	1	35
95	38	1	23,3	416525	0	0	52,9	55,79	56,07	46,69	50,98	57,13	47,18	59,02	50,5	6	1	29
99	99	0	30,7	436360	0	0	56,1	63	62	42	62	48	59	54	57	6	1	36
41	38	1	24,4	436360	1	0	50,8	48	63	33	41	47	54	49	47	3	0	11
66	70	0	25,1	416525	0	0	49,2	50,07	55	48	45,69	43	59	42,39	50	5	1	18
50	54	1	24,3	456194	0	0	51,3	45,4	59,51	41,7	50,41	46,71	55,41	47,3	42,1	5	1	13
98	82	1	22,8	416525	1	1	52,1	46,74	48,05	44,77	47,62	46,06	53,5	58,22	41,77	2	0	8
80	54	0	26,3	416525	0	0	56,1	64,49	57	48,67	52	42	69	49	48,36	6	1	35
98	94	1	20,6	476029	1	0	54,4	51	57	69	51	41	50	52	62	1	0	5
97	82	0	20,4	977558	0	1	63,3	48	57	53	59	50	69	69	49	6	1	29
46	87	1	42,1	416525	0	0	59	60	58	43	54	45	66	63	50	6	1	36
70	73	1	20,4	456194	0	0	50,3	48	50	40	47	43	58	49	52	6	1	27
27	30	0	22,5	416525	0	0	54,3	58	60	50	36	47	54	54	50	6	1	34
34	46	0	30,5	416525	0	0	51,4	63	39	40	47	43	58	60	49	1	0	2
6	20	0	30,3	476029	1	0	50,2	48	52	48	53	51	59	39	57	1	0	0
59	54	1	21,1	456194	0	0	50,7	45	53	44	51	52	54	49	55	4	1	20
85	70	1	22,6	436360	1	1	47,1	50,99	42,12	52,09	34,84	40,5	53,5	42,74	45,27	6	1	36
41	41	0	20,5	456194	0	0	46,7	42	51	30	46	46	66	43	47	4	1	7
95	85	1	20,4	456194	0	0	53,4	55	56	54	41	41	57	59	56	6	1	27
82	54	1	20,3	456194	1	0	50	59	57	45	41	53	54	52	41	6	1	31
99	94	1	21,5	1020061	0	0	63,6	51	51	63	60	51	59	72	53	1	0	2
62	5	1	22,1	476029	0	0	55	43,43	46,44	47,74	54,26	49,66	53,5	60,51	39,88	2	0	1
54	97	1	21,2	1360080	1	1	50,9	51	49	37	45	55	54	63	47	6	1	14
94	70	0	23,2	935056	0	1	54	53	60	58	59	56	59	75	50	3	0	10
80	5	1	20,8	476029	1	0	58,3	58,6	50,68	45,2	60,57	54,45	56,55	63,5	49,44	6	1	27
82	38	1	21,2	476029	0	0	59,2	76	64	60	55	45	53	64	55	1	0	2
97	82	1	20,7	476029	0	0	62,7	63	71	69	59	55	57	64	55	3	0	10
80	94	1	20,2	476029	1	0	49,7	59	47	50	45	57	57	57	53	6	1	35
46	30	0	23,4	416525	1	0	47,8	46,13	51,87	49,44	48,49	46,92	49,07	45,71	53,36	6	1	27
87	59	1	22,5	436360	0	0	53,5	51	33	40	55	49	58	60	46	4	1	8
66	59	1	23,7	436360	1	0	48,6	42,37	43,91	42,25	42,75	52,09	47,18	54,43	47,13	4	1	5
77	50	1	23,4	892553	0	0	45,7	39	40	40	42	43	50	49	37	1	0	0
89	23	1	22,5	476029	0	0	54,1	55,92	43,18	54,95	57,4	58,01	43,94	58,38	43,65	1	0	5
3	1	1	24,4	476029	1	0	44,4	41	36	36	47	34	35	52	41	4	1	11
41	23	1	23,5	476029	0	0	60,6	55,09	45,79	51,89	73,09	43,11	50,6	66,17	51,58	1	0	0
73	38	1	19,8	476029	0	0	43	42	41	26	47	45	39	47	43	2	0	2
94	13	1	21,3	1360080	0	0	57,3	47,48	55,32	48,66	60,57	53,73	65,03	55,89	57,08	3	0	8
73	62	1	21,3	476029	0	0	56,2	55	62	29	52	39	50	68	59	1	0	0
95	59	1	25,9	476029	1	0	49,6	59,93	40,35	47,6	46,57	42,99	45,57	56,19	46,96	6	1	31
62	62	1	20,7	476029	0	0	44,2	44,42	38,22	36,19	42,69	40,14	39,96	50,67	40,31	5	1	29
97	41	1	20,5	476029	0	0	51,7	55	47	53	47	43	41	60	41	3	0	5
66	30	1	23,8	476029	0	0	49,8	51,94	54	49	45,69	39	54	54	46	5	1	15
91	59	1	21,8	476029	0	0	47,8	44	42	41	52	50	52	47	47	2	0	4
62	38	0	19,9	456194	0	0	42,6	44	38	41	25	36	58	48	47	2	0	3
85	59	0	22,8	1360080	0	1	58,7	61,28	67,21	56,82	46,87	66,03	56,41	63,02	64,44	2	0	11
41	13	1	23,4	456194	0	0	55,8	46	56	50	62	39	48	59	47	3	1	7
96	85	1	23,2	416525	1	0	55,7	51	47	53	54	46	52	62	62	4	1	11
91	82	1	21,4	476029	0	0	55	51	55	29	57	59	63	57	52	6	1	14
18	9	1	26,4	436360	0	0	47,2	47,79	31,93	46,04	49,32	39,54	49,19	50,54	52,34	1	0	2
54	38	1	23,9	476029	0	0	47,4	46,34	39,05	51,25	44,84	37,51	50,87	49,77	40,58	5	1	11
98	85	1	22,1	476029	1	0	58	58,6	60,3	53,93	63,65	45,84	62,11	55,62	59,52	2	0	4
98	34	1	24,7	436360	0	0	55,4	49,05	41,79	39,52	60,41	47,17	54,6	61,53	42,01	2	0	6
23	9	1	21	456194	0	0	50,2	38	50	44	63	43	43	49	44	6	1	17
95	59	1	20,4	476029	1	0	60,5	58	60	60	60	52	58	63	47	6	1	29
99	85	1	21,5	807548	1	1	55,5	63	69	40	47	50	58	60	58	5	1	23
73	34	1	21,5	456194	0	0	49,8	37,43	45,79	48,66	46,87	51,33	47,41	53,37	61,96	6	1	19
94	34	1	21,3	1020061	1	0	59,7	51	38	48	54	60	59	71	54	3	0	5
73	94	1	20,5	476029	0	0	56,9	41	44	54	56	45	43	68	44	6	1	17
50	50	0	20,4	476029	0	0	49,8	48	46	45	52	36	54	51	53	3	1	11
70	5	1	20,7	456194	0	0	49,1	41	59	36	43	49	49	53	41	1	0	3
94	82	1	21,5	456194	0	0	51,7	53,19	48,89	47,74	54,13	37,19	47,24	55,62	52,07	1	0	0
41	41	1	22,7	436360	0	0	47,6	42	44	36	50	43	44	52	39	3	0	6
62	34	1	22	476029	0	0	51,9	58,6	58,08	62,46	50,64	47,15	47,24	50,67	59,52	4	1	13
66	5	1	20,2	476029	1	0	51,2	45	38	44	47	43	39	64	52	3	0	10
91	34	0	19,6	476029	0	0	41,3	48	47	49	43	41	28	42	41	4	1	10
30	34	1	22,5	476029	0	0	46,4	52,34	38,22	36,19	50,75	52,08	53,5	45,38	36,08	1	0	0
66	59	1	24,3	436360	0	0	57	57,8	55,84	62,46	69,98	58,01	39,96	55,62	59	5	1	10
91	54	1	31,3	436360	1	0	53,5	53,04	43,12	42,93	56,61	60,24	47,92	58,51	46,96	6	1	34
41	38	1	22,9	436360	0	0	45,6	31,85	43,86	44,51	48,33	39,05	50,37	44	47,38	3	0	7
30	30	1	21	476029	0	0	48,4	41	44	37	37	47	57	55	50	1	0	0
99	23	1	19,4	476029	0	0	61,4	55	55	44	59	52	63	69	55	6	1	19
59	50	0	21,6	1020061	1	1	42,9	45	49	55	40	50	56	34	44	4	1	9
62	30	1	20,1	476029	0	0	57,9	48	50	39	52	47	52	71	36	2	0	4
30	41	1	20,7	476029	1	0	54,6	55	56	45	52	55	62	55	50	4	1	16
30	38	1	20,8	456194	0	0	50,7	38	40	40	59	47	41	56	44	1	0	1
85	85	1	21,9	476029	0	0	69,6	55	49	44	75	47	57	86	52	6	1	14
82	41	0	20,9	476029	0	0	49,9	47	45	48	54	31	52	51	50	5	1	14
66	70	1	20,6	456194	0	0	47	44	48	41	52	41	43	48	44	2	0	5
62	89	1	20,6	476029	0	0	46,3	55	43	44	47	43	43	49	50	1	0	1
94	97	1	20,1	456194	0	0	56,1	59	60	45	60	50	50	59	63	1	0	1
77	82	1	20,8	456194	1	1	52,1	51	53	33	51	43	69	52	52	6	1	35
46	8	1	20,6	476029	0	0	53,6	45	44	69	49	39	57	55	56	3	0	7
66	1	1	22,4	436360	0	0	42,2	45	31	27	52	47	32	47	42	1	0	1
95	99	1	21,6	476029	0	0	54	55,09	55,32	51,89	50,75	53,27	47,41	58,38	56,56	2	0	5
66	9	0	21,2	476029	1	0	60,4	48	53	50	52	40	54	74	52	6	1	31
99	99	1	21,2	476029	0	0	56,2	51	48	48	55	50	50	64	58	5	1	16
15	18	1	20,8	456194	0	0	53,1	45,64	36,86	35,44	46,84	31,96	34,62	44,48	43,47	1	0	1
89	59	1	20,9	456194	1	0	60,3	51	61	60	52	47	68	63	56	6	1	34
59	8	0	20	977558	0	1	51,3	45	49	60	37	49	57	55	50	6	1	29
20	6	1	22,8	476029	1	0	44,4	39	42	50	39	33	41	49	47	2	0	5
97	54	0	24,1	456194	0	0	60,7	57,8	53,02	54,95	54,26	62,94	47,41	72,05	51,58	3	0	10
73	59	0	20,9	476029	0	0	46,5	45	47	49	41	47	45	49	47	6	1	17
66	54	1	23,9	436360	0	0	51,6	55	56	41	56	50	41	55	56	6	1	18
77	41	1	22,8	476029	0	0	45,9	50,07	39,05	36,44	53,45	38,31	45,12	47,48	39,51	2	0	8
82	50	1	23	436360	1	0	52,5	58	42	36	59	47	62	53	44	2	0	6
85	77	1	21,8	456194	0	0	50,1	56,51	56,1	49,23	43,89	44,71	38,38	57,11	52,62	6	1	33
80	23	1	20,7	476029	0	0	51,3	41	42	36	51	43	37	64	46	2	0	7
30	18	1	23,6	436360	0	0	46,3	44,42	53,57	47,74	50,64	40,14	47,24	42,46	59,52	1	0	0
85	23	1	20,5	456194	0	0	52,8	45	50	41	49	43	54	59	47	5	1	13
77	94	0	20,7	456194	0	0	52,5	48	57	45	56	43	54	52	47	1	0	4
66	54	1	20,9	456194	0	0	56,6	53,19	53,57	40,54	57,4	48,86	53,5	63,02	52,07	5	1	14
89	77	1	21,6	476029	0	0	53,7	51	54	53	47	53	57	56	44	1	0	2
46	18	1	27,6	436360	0	0	44,2	47,79	41,1	41,05	38,57	43,48	47,14	47,67	48,97	1	0	0
99	85	1	20,6	476029	0	0	58,5	59	54	60	52	43	62	63	56	6	1	34
41	5	0	20,9	476029	1	1	45,3	46	44	35	39	33	50	51	50	3	0	6
73	94	1	20,6	456194	0	0	41,1	45	33	28	43	39	43	45	44	1	0	0
15	23	1	24,1	436360	0	0	35,3	34	48	17	35	30	15	45	44	1	0	0
98	97	1	25,6	416525	0	0	56,2	57,44	59,52	46,47	43,72	46,06	59,82	63,9	50,66	6	1	22
62	99	1	30,9	436360	0	0	46,6	34	43	41	38	45	52	51	41	1	0	0
94	18	1	20,7	456194	0	0	57,7	55	39	48	59	43	63	64	46	1	0	0
94	77	1	26,7	1020061	0	1	48,6	51,89	59,6	47,3	40,3	53,56	59,11	45,66	44,03	1	0	0
95	85	1	26,3	476029	0	0	48,3	56,94	49,43	50,84	48,9	52,42	51,43	46,07	48,36	6	1	34
82	85	1	21,8	297518	1	1	48,2	51	55	53	41	34	63	45	38	1	0	0
23	50	1	26,1	456194	0	0	46,5	40,94	44,96	43,59	41,52	40,88	47,14	50,54	45,4	4	1	9
66	50	1	27,5	436360	0	0	45,2	36,79	50,44	28,68	45,94	52,09	52,83	43,88	43,56	1	0	1
41	23	1	21,6	476029	1	1	50,5	47	54	43	43	43	56	54	42	1	0	0
66	77	0	26	456194	1	0	49,9	53,71	51,76	58,26	43,5	49,6	63,33	45,66	55,66	2	0	3
85	8	0	27,2	476029	0	0	50	63,27	49,87	49,58	40,3	47,66	55,21	53,42	55,66	6	1	32
11	50	0	26,3	416525	0	0	47,9	51,92	41,1	50,76	49,32	48,43	49,19	47,67	50,66	1	0	0
89	59	1	24,2	476029	0	0	52,1	49,51	48,96	46,59	47,99	60,9	56,64	65,93	48,96	4	1	9
80	54	0	21,1	476029	0	0	56,8	57,8	48,89	50,93	54,26	49,66	62,11	60,51	59	6	1	19
66	30	1	21,8	476029	0	0	54,9	55,09	55,84	53,93	57,57	53,27	56,41	53,16	46,19	2	0	5
89	82	1	22,9	476029	0	0	51,6	42,7	51,46	46,59	42,13	43,48	50,47	58,94	49,37	1	0	0
89	85	1	20,5	456194	0	0	51,6	68	40	49	51	47	41	60	47	6	1	25
82	62	1	29,6	436360	1	0	47,7	57,54	55,49	43,15	45,94	35,25	54,57	46,77	45,33	1	0	5
41	38	0	23,4	476029	0	0	46,6	40,39	41,83	34,19	34,91	52,09	52,45	53,95	43,97	2	0	3
23	20	1	24,4	436360	0	0	44,6	47,86	43,43	38,35	47,97	61,22	41,72	55,71	46,88	1	0	0
23	4	1	23,3	456194	0	0	43,9	33,24	37,44	41,38	46,87	50,1	40,12	45,38	43,65	1	0	0
6	6	1	21,3	476029	0	0	44,3	48	34	40	35	46	52	51	45	1	0	1
46	20	1	27	416525	0	0	49,5	51,89	61,72	56,09	46,37	49,6	59,11	42,69	52,46	1	0	0
95	62	1	33,6	416525	0	0	47,4	50	42	44	40	39	52	50	46	3	0	10
82	54	1	23,8	476029	0	0	44,9	55,79	50,26	47,08	39,48	38,31	49,15	45,01	48,83	3	0	4
9	34	1	21,1	476029	1	0	44,7	59	28	60	37	43	45	49	41	1	0	0
23	41	1	24,8	476029	0	0	38,1	40,94	46,81	43,59	35,31	35,21	37,68	36,38	48,97	1	0	0
73	38	1	21,9	456194	0	0	53,5	55	55	60	41	41	54	59	50	3	0	11
85	77	1	32,9	416525	0	0	47,2	55,09	51,5	39,52	53,11	48,4	50,37	43,8	45,83	1	0	3
23	20	1	34,8	416525	0	0	46,1	52	52	48	50	42	56	37	41	1	0	0
34	20	1	24,5	456194	0	0	42,5	55,99	43,06	35,44	54,12	43,48	47,14	36,38	43,47	2	0	12
3	13	1	26,1	476029	0	0	45	43,22	51,05	34,45	45,54	41,43	49,61	44,69	44,01	1	0	0
89	77	1	31,3	476029	1	0	59,9	58,08	60	51,25	65,36	33,05	70,25	53,31	62,27	1	0	0
41	59	1	25,6	476029	1	0	45,6	32,43	43,7	48,98	35,72	38,31	42,93	52,15	45,38	1	0	1
46	41	1	33,4	456194	1	0	47	49,76	61,85	39,75	53,27	45,63	47,55	41,82	45,4	1	0	0
23	54	0	28,4	436360	0	0	48	49	44,5	52	44	45	52	47	43	4	1	7
82	50	1	38,8	436360	0	0	66,6	57	58	39	62	80	46	84	45	3	0	17
73	23	1	21,4	476029	0	0	52,5	49	55	43	50	45	56	55	54	6	1	32
73	82	1	29,5	436360	0	0	47,9	51,21	49,46	48,19	44,61	41,31	50,08	46,52	42,23	1	0	1
