GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
143	29	1	22,2	2463760	0	0	63,6	54,1	68,5	59,4	57,8	57,3	58,3	69,1	57	7	1	47
142	27	1	20,7	449904	0	0	60,2	51	49	53	59	47	68	64	46	5	1	16
147	21	1	20,1	431158	0	0	62	68	60	53	59	52	58	69	55	3	0	13
107	20	1	20,8	456194	0	0	59,5	48	52	41	65	50	63	63	50	6	1	26
155	28	1	21,7	449904	1	0	64	49,5	67,2	56,8	54,3	56,8	53,5	74,6	66,5	7	1	31
128	28	1	21	112476	0	0	64,1	63	65	53	60	55	69	68	50	7	1	33
124	23	1	20,7	449904	0	0	61,4	69	68	60	52	58	78	59	59	7	1	32
129	22	1	20,7	476029	0	0	60,8	59	57	54	52	52	63	68	53	6	1	32
140	29	1	20,1	449904	0	0	61,1	48	50	53	47	45	58	76	44	7	1	34
124	22	1	24,1	476029	1	0	60,4	68	72	53	63	52	58	60	59	7	1	29
166	28	1	22,5	412412	1	0	61,6	59	77	60	52	71	69	59	59	7	1	38
104	23	1	20,6	107790	0	0	60	55	60	53	60	56	58	63	47	6	1	22
131	24	1	21,4	112476	0	0	63,2	34	50	44	59	43	63	76	41	1	0	0
101	17	1	20,3	4562	0	0	61,2	59	62	49	56	45	63	68	67	7	1	28
172	31	1	20,6	431158	0	0	61,9	58	65	53	55	68	54	69	74	7	1	32
112	26	0	20,3	449904	1	0	61,7	55	57	60	55	53	58	69	47	7	1	33
100	23	0	20,8	431158	1	0	61,4	51	52	44	63	58	58	69	46	7	1	34
105	23	1	22,4	412412	1	0	62,8	64	72,2	59,7	46,9	72	62,1	68,4	57,1	2	0	3
116	26	0	20,7	456194	0	0	60,4	58	53	53	60	63	63	63	50	4	0	8
108	19	1	22,2	449904	1	0	67,5	61,3	62,6	71	66,7	50,9	56,4	74,6	69,6	5	1	14
130	25	1	19,3	476029	1	0	60,2	48	60	53	59	55	58	64	55	7	1	40
123	28	0	20,3	449904	1	0	61,7	55	62	53	52	55	63	85	59	7	1	40
109	27	0	23,6	393666	0	0	57,8	43,4	52,2	41,3	48,2	45,9	50,6	72,4	43,9	3	0	7
101	17	1	22,2	476029	1	0	59,9	60,5	60,3	44,3	57,6	55,6	59,3	65,6	59	7	1	24
130	16	1	19,9	449904	0	0	61,8	51	57	60	63	49	63	64	62	7	1	35
135	27	1	21,1	449904	1	0	65,8	55	63	60	63	58	69	69	55	7	1	40
161	29	1	21,5	2570880	0	1	71,4	76	66	53	63	60	63	86	62	2	0	8
168	29	1	22	431158	1	0	70,5	69,7	67,2	50,9	79,2	73,2	62,1	74,6	82,7	7	1	43
149	24	0	23,4	56238	1	0	59,1	49,7	54,3	46,5	53,5	42,2	57,6	76,2	49	7	1	46
126	18	1	20,5	112476	0	0	59,6	58	55	45	56	49	58	68	50	7	1	37
125	25	1	20,5	431158	1	0	61,7	57,8	55,8	59,7	63,9	64,7	59,3	63	51,6	7	1	20
145	6	0	21,2	964080	0	1	74,7	58	63	53	59	60	50	102	55	2	0	7
157	21	1	20,7	449904	1	0	58,5	63	61	60	51	53	53	64	59	7	1	37
168	28	1	20,4	431158	0	0	65,2	63	59	45	70	45	57	75	67	7	1	47
145	30	1	21,2	923910	0	1	64,8	66,8	72,2	65,2	60,6	56,8	50,5	71,4	69,6	7	1	34
147	23	0	22,5	393666	0	0	62,4	61,3	55,3	63,7	57,4	68,4	53,6	69	57,1	7	1	36
134	27	1	24,7	412412	1	0	61,6	55	57	53	63	45	54	69	46	7	1	32
146	32	1	20,9	449904	0	0	62,5	59	55	60	52	61	69	68	63	5	1	22
167	29	1	19,5	964080	0	1	61,3	68	65	53	55	43	58	69	62	2	0	2
139	28	0	20,2	977558	0	0	61	58	57	69	51	49	78	60	49	7	1	34
119	28	1	20,6	431158	0	0	61,4	48	50	41	60	43	54	75	56	4	0	10
116	21	1	20,3	456194	0	0	60,8	51	41	33	51	49	69	76	59	6	1	27
110	25	1	21,4	1231880	0	1	55,8	43,4	55,3	63,7	54,3	73,2	53,6	53,4	51,6	7	1	32
66	13	1	23,5	412412	0	0	59,9	43,4	43,2	51,9	63,9	71,5	50,6	66,2	56,6	7	1	35
118	14	1	20,8	449904	1	0	52,6	45	61	54	60	30	45	52	56	7	1	39
125	28	1	20,3	449904	1	0	61,9	48	56	59	69	49	57	64	55	4	0	13
75	14	1	25,4	412412	0	0	57,1	48	57	45	65	45	43	63	44	1	0	4
105	29	1	21,1	4312	0	0	62,4	59	55	44	68	52	58	69	62	5	1	22
95	22	0	24,8	883740	1	1	57	55,9	40,4	48,7	63,7	47,6	50,6	63,5	43,7	1	0	3
130	23	1	22,6	393666	0	0	53,8	48,8	59,1	49	55,9	40,5	48,4	56,5	49,1	7	1	41
